nombre,region,url,categoria
Arica 365,Arica y Parinacota,https://www.arica365.cl,Regional
Arica Chile,Arica y Parinacota,https://www.aricachile.cl,Regional
Arica Hoy,Arica y Parinacota,https://www.aricahoy.cl,Regional
Arica Online,Arica y Parinacota,https://aricaonline.cl,Regional
Arica al Día,Arica y Parinacota,https://www.aricaldia.cl,Regional
Arica es Noticia,Arica y Parinacota,https://aricaesnoticia.cl,Regional
Diario El Morro,Arica y Parinacota,https://elmorrodearica.cl,Regional
El Morrocotudo,Arica y Parinacota,https://www.elmorrocotudo.cl,Regional
La Estrella de Arica,Arica y Parinacota,https://estrellaarica.cl,Regional
Puertanorte,Arica y Parinacota,https://radiopuertanorte.cl,Regional
Radio Siente,Arica y Parinacota,https://www.radiosiente.com,Regional
Diario El Nortino,Tarapacá,https://www.diarioelnortino.cl,Regional
La Mega FM,Tarapacá,https://www.lamegafm.cl,Regional
Tarapacá Online,Tarapacá,https://www.tarapacaonline.cl,Regional
Chile Mosaico,Tarapacá,https://www.chilemosaico.cl,Regional
Diario El Longino,Tarapacá,https://diariolongino.cl,Regional
El Reportero de Iquique,Tarapacá,https://elreporterodeiquique.com,Regional
Iquique TV,Tarapacá,https://iquiquetv.cl,Regional
Antofacity,Antofagasta,https://www.antofacity.com,Regional
El Diario de Antofagasta,Antofagasta,https://www.diarioantofagasta.cl,Regional
En La Linea,Antofagasta,https://www.enlalinea.cl,Regional
Región 2,Antofagasta,https://www.region2.cl,Regional
Timeline,Antofagasta,https://www.timeline.cl,Regional
Regionalista,Antofagasta,https://regionalista.cl,Regional
Calama en Línea,Antofagasta,https://noticias.calamaenlinea.cl,Regional
Diario Sol,Antofagasta,https://www.diariosol.cl,Regional
Enfoque Digital,Atacama,https://www.enfoquedigital.cl,Regional
Vallenar Digital,Atacama,https://www.vallenardigital.cl,Regional
El Noticiero del Huasco,Atacama,https://elnoticierodelhuasco.cl,Regional
Prensa Chañaral,Atacama,https://www.chanarcillo.cl,Regional
Atacama Noticias,Atacama,https://www.atacamanoticias.cl,Regional
Atacama en Línea,Atacama,https://www.atacamaenlinea.cl,Regional
